# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
16080,5.968,100,2,0
16090,5.964,100,2,0
16100,5.960,100,2,0
16110,5.956,100,2,0
16120,5.952,100,2,0
16130,5.948,100,2,0
16140,5.944,100,2,0
16150,5.940,100,2,0
16160,5.936,100,2,0
16170,5.932,100,2,0
16180,5.928,100,2,0
16190,5.924,100,2,0
16200,5.920,100,2,0
16210,5.916,100,2,0
16220,5.912,100,2,0
16230,5.908,100,2,0
16240,5.904,100,2,0
16250,5.900,100,2,0
16260,5.896,100,2,0
16270,5.892,100,2,0
16280,5.888,100,2,0
16290,5.884,100,2,0
16300,5.880,100,2,0
16310,5.876,100,2,0
16320,5.872,100,2,0
16330,5.868,100,2,0
16340,5.864,100,2,0
16350,5.860,100,2,0
16360,5.856,100,2,0
16370,5.852,100,2,0
16380,5.848,100,2,0
16390,5.844,100,2,0
16400,5.840,100,2,0
16410,5.836,100,2,0
16420,5.832,100,2,0
16430,5.828,100,2,0
16440,5.824,100,2,0
16450,5.820,100,2,0
16460,5.816,100,2,0
16470,5.812,100,2,0
16480,5.808,100,2,0
16490,5.804,100,2,0
16500,5.800,100,2,0
16510,5.796,100,2,0
16520,5.792,100,2,0
16530,5.788,100,2,0
16540,5.784,100,2,0
16550,5.780,100,2,0
16560,5.776,100,2,0
16570,5.772,100,2,0
16580,5.768,100,2,0
16590,5.764,100,2,0
16600,5.760,100,2,0
16610,5.756,100,2,0
16620,5.752,100,2,0
16630,5.748,100,2,0
16640,5.744,100,2,0
16650,5.740,100,2,0
16660,5.736,100,2,0
16670,5.732,100,2,0
16680,5.728,100,2,0
16690,5.724,100,2,0
16700,5.720,100,2,0
16710,5.716,100,2,0
16720,5.712,100,2,0
16730,5.708,100,2,0
16740,5.704,100,2,0
16750,5.700,100,2,0
16760,5.696,100,2,0
16770,5.692,100,2,0
16780,5.688,100,2,0
16790,5.684,100,2,0
16800,5.680,100,2,0
16810,5.676,100,2,0
16820,5.672,100,2,0
16830,5.668,100,2,0
16840,5.664,100,2,0
16850,5.660,100,2,0
16860,5.656,100,2,0
16870,5.652,100,2,0
16880,5.648,100,2,0
16890,5.644,100,2,0
16900,5.640,100,2,0
16910,5.636,100,2,0
16920,5.632,100,2,0
16930,5.628,100,2,0
16940,5.624,100,2,0
16950,5.620,100,2,0
16960,5.616,100,2,0
16970,5.612,100,2,0
16980,5.608,100,2,0
16990,5.604,100,2,0
17000,5.600,100,2,0
17010,5.596,100,2,0
17020,5.592,100,2,0
17030,5.588,100,2,0
17040,5.584,100,2,0
17050,5.580,100,2,0
17060,5.576,100,2,0
17070,5.572,100,2,0
17080,5.568,100,2,0
17090,5.564,100,2,0
17100,5.560,100,2,0
17110,5.556,100,2,0
17120,5.552,100,2,0
17130,5.548,100,2,0
17140,5.544,100,2,0
17150,5.540,100,2,0
17160,5.536,100,2,0
17170,5.532,100,2,0
17180,5.528,100,2,0
17190,5.524,100,2,0
17200,5.520,100,2,0
17210,5.516,100,2,0
17220,5.512,100,2,0
17230,5.508,100,2,0
17240,5.504,100,2,0
17250,5.500,100,2,0
17260,5.496,100,2,0
17270,5.492,100,2,0
17280,5.488,100,2,0
17290,5.484,100,2,0
17300,5.480,100,2,0
17310,5.476,100,2,0
17320,5.472,100,2,0
17330,5.468,100,2,0
17340,5.464,100,2,0
17350,5.460,100,2,0
17360,5.456,100,2,0
17370,5.452,100,2,0
17380,5.448,100,2,0
17390,5.444,100,2,0
17400,5.440,100,2,0
17410,5.436,100,2,0
