# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
7960,3.184,20,1,2
7970,3.188,20,1,2
7980,3.192,20,1,2
7990,3.196,20,1,2
8000,3.200,20,1,2
8010,3.204,20,1,2
8020,3.208,20,1,2
8030,3.212,20,1,2
8040,3.216,20,1,2
8050,3.220,20,1,2
8060,3.224,20,1,2
8070,3.228,20,1,2
8080,3.232,20,1,2
8090,3.236,20,1,2
8100,3.240,20,1,2
8110,3.244,20,1,2
8120,3.248,20,1,2
8130,3.252,20,1,2
8140,3.256,20,1,2
8150,3.260,20,1,2
8160,3.264,20,1,2
8170,3.268,20,1,2
8180,3.272,20,1,2
8190,3.276,20,1,2
8200,3.280,20,1,2
8210,3.284,20,1,2
8220,3.288,20,1,2
8230,3.292,20,1,2
8240,3.296,20,1,2
8250,3.300,20,1,2
8260,3.304,20,1,2
8270,3.308,20,1,2
8280,3.312,20,1,2
8290,3.316,20,1,2
8300,3.320,20,1,2
8310,3.324,20,1,2
8320,3.328,20,1,2
8330,3.332,20,1,2
8340,3.336,20,1,2
8350,3.340,20,1,2
8360,3.344,20,1,2
8370,3.348,20,1,2
8380,3.352,20,1,2
8390,3.356,20,1,2
8400,3.360,20,1,2
8410,3.364,20,1,2
8420,3.368,20,1,2
8430,3.372,20,1,2
8440,3.376,20,1,2
8450,3.380,20,1,2
8460,3.384,20,1,2
8470,3.388,20,1,2
8480,3.392,20,1,2
8490,3.396,20,1,2
8500,3.400,20,1,2
8510,3.404,20,1,2
8520,3.408,20,1,2
8530,3.412,20,1,2
8540,3.416,20,1,2
8550,3.420,20,1,2
8560,3.424,20,1,2
8570,3.428,20,1,2
8580,3.432,20,1,2
8590,3.436,20,1,2
8600,3.440,20,1,2
8610,3.444,20,1,2
8620,3.448,20,1,2
8630,3.452,20,1,2
8640,3.456,20,1,2
8650,3.460,20,1,2
8660,3.464,20,1,2
8670,3.468,20,1,2
8680,3.472,20,1,2
8690,3.476,20,1,2
8700,3.480,20,1,2
8710,3.484,20,1,2
8720,3.488,20,1,2
8730,3.492,20,1,2
8740,3.496,20,1,2
8750,3.500,20,1,2
8760,3.504,20,1,2
8770,3.508,20,1,2
8780,3.512,20,1,2
8790,3.516,20,1,2
8800,3.520,20,1,2
8810,3.524,20,1,2
8820,3.528,20,1,2
8830,3.532,20,1,2
8840,3.536,20,1,2
8850,3.540,20,1,2
8860,3.544,20,1,2
8870,3.548,20,1,2
8880,3.552,20,1,2
8890,3.556,20,1,2
8900,3.560,20,1,2
8910,3.564,20,1,2
8920,3.568,20,1,2
8930,3.572,20,1,2
8940,3.576,20,1,2
8950,3.580,20,1,2
8960,3.584,20,1,2
8970,3.588,20,1,2
8980,3.592,20,1,2
8990,3.596,20,1,2
9000,3.600,20,1,2
9010,3.604,20,1,2
9020,3.608,20,1,2
9030,3.612,20,1,2
9040,3.616,20,1,2
9050,3.620,20,1,2
9060,3.624,20,1,2
9070,3.628,20,1,2
9080,3.632,20,1,2
9090,3.636,20,1,2
9100,3.640,20,1,2
9110,3.644,20,1,2
9120,3.648,20,1,2
9130,3.652,20,1,2
9140,3.656,20,1,2
9150,3.660,20,1,2
9160,3.664,20,1,2
9170,3.668,20,1,2
9180,3.672,20,1,2
9190,3.676,20,1,2
9200,3.680,20,1,2
9210,3.684,20,1,2
9220,3.688,20,1,2
9230,3.692,20,1,2
9240,3.696,20,1,2
9250,3.700,20,1,2
9260,3.704,20,1,2
9270,3.708,20,1,2
9280,3.712,20,1,2
9290,3.716,20,1,2
9300,3.720,20,1,2
9310,3.724,20,1,2
9320,3.728,20,1,2
9330,3.732,20,1,2
9340,3.736,20,1,2
9350,3.740,20,1,2
9360,3.744,20,1,2
9370,3.748,20,1,2
9380,3.752,20,1,2
9390,3.756,20,1,2
9400,3.760,20,1,2
9410,3.764,20,1,2
9420,3.768,20,1,2
9430,3.772,20,1,2
9440,3.776,20,1,2
9450,3.780,20,1,2
9460,3.784,20,1,2
9470,3.788,20,1,2
9480,3.792,20,1,2
9490,3.796,20,1,2
9500,3.800,20,1,2
9510,3.804,20,1,2
9520,3.808,20,1,2
9530,3.812,20,1,2
9540,3.816,20,1,2
9550,3.820,20,1,2
9560,3.824,20,1,2
9570,3.828,20,1,2
9580,3.832,20,1,2
9590,3.836,20,1,2
9600,3.840,20,1,2
9610,3.844,20,1,2
9620,3.848,20,1,2
9630,3.852,20,1,2
9640,3.856,20,1,2
9650,3.860,20,1,2
9660,3.864,20,1,2
9670,3.868,20,1,2
9680,3.872,20,1,2
9690,3.876,20,1,2
9700,3.880,20,1,2
9710,3.884,20,1,2
9720,3.888,20,1,2
9730,3.892,20,1,2
9740,3.896,20,1,2
9750,3.900,20,1,2
9760,3.904,20,1,2
9770,3.908,20,1,2
9780,3.912,20,1,2
9790,3.916,20,1,2
9800,3.920,20,1,2
9810,3.924,20,1,2
9820,3.928,20,1,2
9830,3.932,20,1,2
9840,3.936,20,1,2
9850,3.940,20,1,2
9860,3.944,20,1,2
9870,3.948,20,1,2
9880,3.952,20,1,2
9890,3.956,20,1,2
9900,3.960,20,1,2
9910,3.964,20,1,2
9920,3.968,20,1,2
9930,3.972,20,1,2
9940,3.976,20,1,2
9950,3.980,20,1,2
9960,3.984,20,1,2
9970,3.988,20,1,2
9980,3.992,20,1,2
9990,3.996,20,1,2
10000,4.000,20,1,2
10010,4.004,20,1,2
10020,4.008,20,1,2
10030,4.012,20,1,2
10040,4.016,20,1,2
10050,4.020,20,1,2
10060,4.024,20,1,2
10070,4.028,20,1,2
10080,4.032,20,1,2
10090,4.036,20,1,2
10100,4.040,20,1,2
10110,4.044,20,1,2
10120,4.048,20,1,2
10130,4.052,20,1,2
10140,4.056,20,1,2
10150,4.060,20,1,2
10160,4.064,20,1,2
10170,4.068,20,1,2
10180,4.072,20,1,2
10190,4.076,20,1,2
10200,4.080,20,1,2
10210,4.084,20,1,2
10220,4.088,20,1,2
10230,4.092,20,1,2
10240,4.096,20,1,2
10250,4.100,20,1,2
10260,4.104,20,1,2
